site_year,species,latitude,longitude,min_depth,max_depth,abundance,bot_depth,secchi_depth,depth,temperature,salinity,oxygen,phosphate,total_phosphorus,silicate,nitrate_nitrite,nitrate,nitrite,ammonium,total_nitrogen,hydrogen_sulphide,ph,total_alkalinity,chlorophyll_a
0_1994,Abra alba,54.32,11.55,25.0,25.0,384,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Ampharete acutifrons,54.32,11.55,25.0,25.0,22,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Arctica islandica,54.32,11.55,25.0,25.0,85,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Bylgides sarsi,54.32,11.55,25.0,25.0,19,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Capitella capitata,54.32,11.55,25.0,25.0,14,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Corbula gibba,54.32,11.55,25.0,25.0,63,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Diastylis rathkei,54.32,11.55,25.0,25.0,104,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,6,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Halicryptus spinulosus,54.32,11.55,25.0,25.0,22,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
0_1994,Heteromastus filiformis,54.32,11.55,25.0,25.0,31,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.7184177215189878
